Abramis brama
Chiloscyllium punctatum
Orectolobus maculatus
Orectolobus ornatus
Alouatta sp.
Oncorhynchus mykiss
Oncorhynchus mykiss
Danio rerio
Lampetra fluviatilis
Eigenmannia virescens
Gasterosteus acuelatus
Poecilia reticulata cumana
Poecilia reticulata trinidad
Photostomias guernei
Chauliodus danae
Chauliodus sloani
Idiacanthus fasciola
Stomias boa
Ichthyocossus ovatus
Vinciguerria nimbaria
Argyropelecus aculeatus
Argyropelecus gigas
Gonostoma bathyphilium
Gonostoma elongatum
Diaphus rafinesquei
Bolinichthys indicus
Ceratoscopelus warmingii
Lampanyctus alatus
Benthosema suborbitale
Phycis blennoides
Coryphaenoides guntheri
Bassozetus compresis
Cataetyx laticeps
Conocara salmonea
Alepocephalus bairdii
Anoplogaster cornuta
Hoplostethus mediteranus
Bathysaurus ferox
Bathysaurus mollis
Aristostomias tittmani
Malacosteus niger
