	Lambda_Max
S665	360.00000
S666	391.00000
S667	391.00000
S668	360.00000
S669	359.00000
S670	363.00000
S671	361.00000
S672	358.00000
S673	363.00000
S674	363.00000
S675	383.00000
S676	385.00000
S677	423.00000
S678	365.00000
S679	360.00000
S680	360.00000
S681	396.00000
S682	414.00000
S683	414.00000
S684	381.00000
S685	363.00000
S686	405.00000
S687	359.00000
S688	359.00000
S689	359.00000
S690	359.00000
S691	359.00000
S692	359.00000
S693	359.00000
S694	359.00000
S695	359.00000
S696	359.00000
S697	359.00000
S699	359.00000
S700	359.00000
S701	359.00000
S702	359.00000
S703	359.00000
S704	359.00000
S705	359.00000
S706	381.00000
S707	363.00000
S708	403.00000
S710	412.00000
S711	411.00000
S712	360.00000
S713	359.00000
S714	352.00000
S715	369.00000
S716	498.00000
S717	367.00000
S718	412.00000
S720	359.00000
S721	360.00000
S722	411.00000
S723	360.00000
S724	552.00000
S725	558.00000
S727	511.00000
S729	356.00000
S730	357.00000
S731	442.00000
S732	584.00000
S733	509.00000
S734	572.00000
S735	507.00000
S736	559.00000
S737	358.00000
S739	511.00000
S740	519.00000
S741	563.00000
S742	563.00000
S743	561.00000
S744	558.00000
S745	558.00000
S746	536.00000
S747	561.00000
S748	564.00000
S749	532.00000
S750	553.00000
S751	532.00000
S752	533.00000
S753	532.00000
S754	554.00000
S755	553.00000
S756	532.00000
S757	533.00000
S758	532.00000
S759	501.70000
S760	499.00000
S761	359.00000
S762	376.00000
S763	358.00000
S764	358.00000
S765	424.00000
S766	430.00000
S767	354.00000
S768	351.00000
S769	367.00000
S771	431.00000
S772	403.00000
S773	363.00000
S774	403.00000
S775	365.00000
S776	363.00000
S777	539.00000
S778	611.00000
S779	542.00000
S780	557.00000
S781	577.00000
S782	532.00000
S783	532.00000
S784	537.00000
S785	518.00000
S786	500.00000
S787	499.00000
S788	482.00000
S789	482.00000
S790	482.00000
S791	431.00000
S792	443.00000
S793	433.00000
S794	363.00000
S795	370.00000
S796	365.00000
S797	430.00000
S798	353.00000
S799	353.00000
S800	415.00000
S801	352.00000
S802	365.00000
S803	371.00000
S805	425.00000
S806	485.00000
S807	482.00000
S808	494.00000
S809	490.00000
S810	551.00000
S811	539.00000
S812	532.00000
S813	532.00000
S814	533.00000
S815	533.00000
S816	545.00000
S817	545.00000
S818	546.00000
S819	546.00000
S820	558.00000
S822	556.00000
S823	559.00000
S825	536.00000
S826	550.00000
S827	543.00000
S828	527.00000
S829	533.00000
S830	545.00000
S831	536.00000
S832	525.00000
S833	522.00000
S834	516.00000
S835	534.00000
S836	512.00000
S838	439.00000
S839	439.00000
S840	438.00000
S841	438.00000
S842	438.00000
S843	439.00000
S844	438.00000
S845	439.00000
S846	442.00000
S847	438.00000
S848	439.00000
S849	444.00000
S850	448.00000
S851	444.00000
S852	449.00000
S853	448.00000
S854	450.00000
S855	453.00000
